internship_id,title,company,domain,location,duration,stipend,required_skills,description,application_deadline,positions_available,company_size,industry,remote_work,experience_level,created_at,is_active
INT_00001,Cloud Computing Intern,Unacademy,Cloud Computing,Ahmedabad,6,60274,"jenkins,linux",Exciting internship opportunity at Unacademy in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,8,mid,Manufacturing,no,entry,2024-10-03 00:59:50.680357,True
INT_00002,Human Resources Intern,SBI,Human Resources,Pune,4,23242,"docker,finance",Exciting internship opportunity at SBI in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Retail,hybrid,entry,2025-01-16 02:00:18.309256,True
INT_00003,Web Development Intern,Nykaa,Web Development,Surat,6,72919,"javascript,java","Develop responsive web applications using modern frameworks at Nykaa. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,6,mid,Automotive,yes,entry,2025-07-31 09:13:31.467689,False
INT_00004,Human Resources Intern,Paytm,Human Resources,Nagpur,6,48610,"java,vue,mongodb",Exciting internship opportunity at Paytm in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,9,mid,Manufacturing,hybrid,entry,2025-05-22 12:20:59.023790,True
INT_00005,Graphic Design Intern,Airbnb,Graphic Design,Kolkata,4,27380,"adobe xd,figma",Exciting internship opportunity at Airbnb in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,Finance,yes,intermediate,2025-08-07 13:41:08.895468,True
INT_00006,Product Management Intern,Spotify,Product Management,Kanpur,6,48296,"strategy,seo",Exciting internship opportunity at Spotify in Product Management. Gain hands-on experience and work with industry professionals.,2025-09-23,3,startup,Fashion,hybrid,entry,2025-02-25 21:08:17.439561,True
INT_00007,Quality Assurance Intern,ShopClues,Quality Assurance,Kanpur,6,31192,"operations,web development",Exciting internship opportunity at ShopClues in Quality Assurance. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,Sports,no,intermediate,2025-08-25 03:48:27.195399,True
INT_00008,Content Writing Intern,TCS,Content Writing,Ludhiana,6,42304,"content writing,seo",Exciting internship opportunity at TCS in Content Writing. Gain hands-on experience and work with industry professionals.,2025-09-23,14,large,Technology,no,entry,2025-04-26 04:03:52.058111,True
INT_00009,Mobile Development Intern,Microsoft,Mobile Development,Kolkata,3,42940,"javascript,sql,java","Create innovative mobile applications for Microsoft. Work with iOS/Android development, learn mobile UI/UX principles, and contribute to app store releases.",2025-09-23,16,large,Technology,hybrid,entry,2025-07-17 16:45:10.868602,True
INT_00010,Graphic Design Intern,SBI,Graphic Design,Kolkata,3,54533,"figma,illustrator",Exciting internship opportunity at SBI in Graphic Design. Gain hands-on experience and work with industry professionals.,2025-09-23,8,mid,Retail,hybrid,entry,2025-05-06 16:04:35.184956,True
INT_00011,Human Resources Intern,Jabong,Human Resources,Patna,6,34056,"trading,flutter,gcp",Exciting internship opportunity at Jabong in Human Resources. Gain hands-on experience and work with industry professionals.,2025-09-23,2,startup,Retail,no,entry,2024-10-20 07:54:13.370087,False
INT_00012,Operations Intern,Ola,Operations,Surat,4,66200,"web development,gcp",Exciting internship opportunity at Ola in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,7,mid,Real Estate,hybrid,entry,2025-07-18 08:14:20.559502,True
INT_00013,Finance Intern,ShopClues,Finance,Pimpri-Chinchwad,4,28653,"react,angular",Exciting internship opportunity at ShopClues in Finance. Gain hands-on experience and work with industry professionals.,2025-09-23,4,startup,Non-profit,hybrid,entry,2025-09-13 19:51:44.885044,True
INT_00014,Web Development Intern,Salesforce,Web Development,Nagpur,8,27235,"react,python,sql","Develop responsive web applications using modern frameworks at Salesforce. You'll work on both frontend and backend development, gaining full-stack experience.",2025-09-23,5,mid,E-commerce,hybrid,entry,2025-01-10 16:40:48.845962,True
INT_00015,Cloud Computing Intern,UpGrad,Cloud Computing,Bangalore,3,48592,"docker,kubernetes,python",Exciting internship opportunity at UpGrad in Cloud Computing. Gain hands-on experience and work with industry professionals.,2025-09-23,6,mid,Automotive,yes,entry,2025-07-03 14:07:55.648098,False
INT_00016,DevOps Intern,Unacademy,DevOps,Thane,8,63229,"jenkins,kubernetes,docker","Learn cloud infrastructure and deployment automation at Unacademy. Work with AWS/Azure, Docker, Kubernetes, and CI/CD pipelines.",2025-09-23,4,mid,Finance,hybrid,advanced,2025-02-01 01:47:02.263307,True
INT_00017,Operations Intern,Razorpay,Operations,Visakhapatnam,8,39679,"project management,flutter,mobile development",Exciting internship opportunity at Razorpay in Operations. Gain hands-on experience and work with industry professionals.,2025-09-23,1,startup,Fashion,yes,intermediate,2025-05-09 12:53:14.360112,True
INT_00018,Finance Intern,Goldman Sachs,Finance,Surat,3,38343,"postgresql,docker,trading",Exciting internship opportunity at Goldman Sachs in Finance. Gain hands-on experience and work with industry professionals.,2025-09-23,21,large,Technology,no,intermediate,2025-07-13 19:21:45.253571,True
INT_00019,Finance Intern,CRED,Finance,Kolkata,3,23270,"operations,jira",Exciting internship opportunity at CRED in Finance. Gain hands-on experience and work with industry professionals.,2025-09-23,3,mid,Finance,yes,intermediate,2025-01-01 16:32:17.636562,True
INT_00020,Software Development Intern,Snapdeal,Software Development,Delhi,6,28904,"python,react",Join Snapdeal as a Software Development Intern and work on cutting-edge projects. You'll collaborate with experienced developers to build scalable applications and learn industry best practices.,2025-09-23,6,mid,Retail,hybrid,entry,2025-01-21 17:21:28.257587,True
