internship_id,title,company,domain,description,required_skills,location,duration,stipend,is_active,application_deadline,is_accepting_applications,employee_count,headquarters,industry
INT_0001,Data Science Intern,State Bank of India,web development,"Exciting opportunity as a data science intern at State Bank of India, working with excel, accounting in the Banking & Finance sector.","node.js, node.js, sql",pune,3 months,30000,True,2025-09-30,True,5000,Bangalore,Technology
INT_0002,Marketing Intern,Wipro,mobile apps,"Exciting opportunity as a marketing intern at Wipro, working with excel, financial analysis in the Energy & Exploration sector.","python, python",chennai,6 months,15000,True,2025-09-07,False,25,Mumbai,Fintech
INT_0003,Data Science Intern,ONGC,ai/ml,"Exciting opportunity as a data science intern at ONGC, working with seo, content writing in the Energy & Petrochemicals sector.","sql, node.js, react",chennai,6 months,15000,True,2025-10-03,True,150,Hyderabad,Data Analytics
INT_0004,Cloud Computing Intern,ONGC,mobile apps,"Exciting opportunity as a cloud computing intern at ONGC, working with aws, docker in the Infrastructure & Engineering sector.","machine learning, machine learning",delhi,2 months,15000,True,2025-11-13,True,800,Pune,Cloud Computing
INT_0005,Finance Intern,HDFC Bank,mobile apps,"Exciting opportunity as a finance intern at HDFC Bank, working with digital marketing, seo in the Energy & Exploration sector.","machine learning, sql",bangalore,3 months,30000,True,2025-08-29,False,2000,Bangalore,Artificial Intelligence
INT_0006,Cloud Computing Intern,Reliance Industries,software development,"Exciting opportunity as a cloud computing intern at Reliance Industries, working with excel, accounting in the Energy & Petrochemicals sector.","sql, sql, machine learning",bangalore,2 months,30000,True,2025-09-22,True,75,Chennai,Mobile Development
INT_0007,Web Development Intern,ONGC,ai/ml,"Exciting opportunity as a web development intern at ONGC, working with accounting, excel in the Energy & Petrochemicals sector.","machine learning, python, python",bangalore,6 months,25000,True,2025-09-23,True,300,Delhi,Web Development
INT_0008,Marketing Intern,State Bank of India,ai/ml,"Exciting opportunity as a marketing intern at State Bank of India, working with financial analysis, excel in the Energy & Exploration sector.","java, python, sql",hyderabad,2 months,0,True,2025-09-11,False,45,Mumbai,Blockchain
INT_0009,Cloud Computing Intern,Infosys,ai/ml,"Exciting opportunity as a cloud computing intern at Infosys, working with react, javascript in the Infrastructure & Engineering sector.","python, python, java",mumbai,2 months,25000,True,2025-09-23,True,120,Bangalore,Cybersecurity
INT_0010,Cloud Computing Intern,ICICI Bank,mobile apps,"Exciting opportunity as a cloud computing intern at ICICI Bank, working with javascript, css in the IT Services sector.","node.js, java",hyderabad,3 months,25000,False,2025-09-26,True,90,Pune,Internet of Things
INT_0011,Data Science Intern,Reliance Industries,web development,"Exciting opportunity as a data science intern at Reliance Industries, working with javascript, react in the IT Services sector.","machine learning, java",mumbai,3 months,30000,True,2025-10-11,True,10000,Mumbai,Conglomerate
INT_0012,Marketing Intern,Tata Consultancy Services,ai/ml,"Exciting opportunity as a marketing intern at Tata Consultancy Services, working with accounting, excel in the Energy & Exploration sector.","python, machine learning, machine learning",bangalore,6 months,15000,True,2025-11-11,True,60,Delhi,Clean Technology
INT_0013,Marketing Intern,Larsen & Toubro,mobile apps,"Exciting opportunity as a marketing intern at Larsen & Toubro, working with excel, accounting in the Energy & Exploration sector.","java, python",bangalore,2 months,10000,True,2025-09-24,True,180,Bangalore,Healthcare Technology
INT_0014,Marketing Intern,ONGC,software development,"Exciting opportunity as a marketing intern at ONGC, working with aws, azure in the Energy & Exploration sector.","node.js, machine learning, react",hyderabad,2 months,0,False,2025-09-27,True,250,Hyderabad,Education Technology
INT_0015,Data Science Intern,ICICI Bank,web development,"Exciting opportunity as a data science intern at ICICI Bank, working with aws, docker in the Energy & Petrochemicals sector.","sql, python",hyderabad,2 months,30000,False,2025-10-09,True,400,Mumbai,Retail Technology
INT_0016,Finance Intern,HCL Technologies,software development,"Exciting opportunity as a finance intern at HCL Technologies, working with javascript, react in the Energy & Petrochemicals sector.","sql, sql",mumbai,6 months,15000,True,2025-10-30,True,18,Delhi,E-commerce
INT_0017,Marketing Intern,Wipro,web development,"Exciting opportunity as a marketing intern at Wipro, working with seo, digital marketing in the Energy & Petrochemicals sector.","sql, machine learning, node.js",chennai,6 months,10000,True,2025-09-24,True,90,Pune,Consulting
INT_0018,Data Science Intern,Reliance Industries,mobile apps,"Exciting opportunity as a data science intern at Reliance Industries, working with aws, docker in the Energy & Petrochemicals sector.","python, machine learning, sql",mumbai,3 months,10000,True,2025-09-23,True,625,Hyderabad,Consulting
INT_0019,Finance Intern,HCL Technologies,data science,"Exciting opportunity as a finance intern at HCL Technologies, working with html, javascript in the Energy & Petrochemicals sector.","machine learning, node.js",hyderabad,3 months,30000,True,2025-11-10,True,60,Chennai,Media
INT_0020,Finance Intern,Tata Consultancy Services,web development,"Exciting opportunity as a finance intern at Tata Consultancy Services, working with javascript, html in the Banking & Finance sector.","machine learning, node.js, sql",pune,3 months,20000,False,2025-09-14,False,119,Kolkata,Healthcare
INT_0021,Data Science Intern,ICICI Bank,software development,"Exciting opportunity as a data science intern at ICICI Bank, working with html, javascript in the Banking & Finance sector.","node.js, python, sql",hyderabad,2 months,0,True,2025-09-02,False,416,Delhi,Manufacturing
INT_0022,Web Development Intern,HCL Technologies,mobile apps,"Exciting opportunity as a web development intern at HCL Technologies, working with excel, accounting in the Banking & Finance sector.","react, java",pune,2 months,10000,True,2025-09-03,False,563,Hyderabad,Technology
INT_0023,Cloud Computing Intern,Reliance Industries,web development,"Exciting opportunity as a cloud computing intern at Reliance Industries, working with seo, content writing in the Infrastructure & Engineering sector.","node.js, java, java",delhi,3 months,30000,True,2025-09-11,False,41,Pune,Automotive
INT_0024,Cloud Computing Intern,Reliance Industries,data science,"Exciting opportunity as a cloud computing intern at Reliance Industries, working with seo, content writing in the Energy & Petrochemicals sector.","sql, react, python",hyderabad,2 months,30000,True,2025-10-29,True,340,Hyderabad,E-commerce
INT_0025,Data Science Intern,HCL Technologies,data science,"Exciting opportunity as a data science intern at HCL Technologies, working with css, html in the Energy & Exploration sector.","python, machine learning, python",delhi,3 months,15000,True,2025-10-09,True,91,Mumbai,Real Estate
INT_0026,Marketing Intern,ONGC,ai/ml,"Exciting opportunity as a marketing intern at ONGC, working with financial analysis, excel in the IT Services sector.","react, machine learning, sql",chennai,6 months,20000,False,2025-09-11,False,22,Bangalore,Education
INT_0027,Web Development Intern,State Bank of India,ai/ml,"Exciting opportunity as a web development intern at State Bank of India, working with css, react in the Energy & Petrochemicals sector.","python, machine learning",mumbai,3 months,0,False,2025-10-06,True,3142,Chennai,Healthcare
INT_0028,Data Science Intern,HCL Technologies,software development,"Exciting opportunity as a data science intern at HCL Technologies, working with css, html in the Infrastructure & Engineering sector.","sql, node.js",pune,6 months,25000,True,2025-09-05,False,685,Kolkata,E-commerce
INT_0029,Marketing Intern,HDFC Bank,web development,"Exciting opportunity as a marketing intern at HDFC Bank, working with sql, machine learning in the Infrastructure & Engineering sector.","node.js, node.js",mumbai,2 months,15000,True,2025-11-10,True,612,Pune,E-commerce
INT_0030,Finance Intern,HDFC Bank,web development,"Exciting opportunity as a finance intern at HDFC Bank, working with python, machine learning in the Banking & Finance sector.","node.js, node.js, react",delhi,3 months,10000,True,2025-09-23,True,2504,Pune,Education
INT_0031,Web Development Intern,ICICI Bank,ai/ml,"Exciting opportunity as a web development intern at ICICI Bank, working with machine learning, sql in the IT Services sector.","node.js, sql",pune,2 months,10000,True,2025-09-14,False,153,Mumbai,Consulting
INT_0032,Web Development Intern,Infosys,web development,"Exciting opportunity as a web development intern at Infosys, working with docker, aws in the IT Services sector.","java, react",mumbai,6 months,15000,True,2025-09-25,True,82,Mumbai,Fintech
INT_0033,Cloud Computing Intern,Larsen & Toubro,web development,"Exciting opportunity as a cloud computing intern at Larsen & Toubro, working with python, machine learning in the Infrastructure & Engineering sector.","python, machine learning, python",hyderabad,6 months,30000,True,2025-10-09,True,775,Chennai,Real Estate
INT_0034,Cloud Computing Intern,ONGC,data science,"Exciting opportunity as a cloud computing intern at ONGC, working with python, sql in the Banking & Finance sector.","machine learning, react",bangalore,6 months,10000,False,2025-09-28,True,31,Delhi,Media
INT_0035,Data Science Intern,ICICI Bank,ai/ml,"Exciting opportunity as a data science intern at ICICI Bank, working with digital marketing, content writing in the Energy & Exploration sector.","sql, machine learning, sql",delhi,2 months,20000,True,2025-09-30,True,917,Pune,Healthcare
