company_id,company_name,industry,size,location,reputation_score,growth_rate,employee_satisfaction,founded_year,website,linkedin_url,description
COMP_0001,Unacademy,Retail,mid,Agra,8.0,23.9,4.3,2009,https://unacademy.com,https://linkedin.com/company/unacademy,Unacademy is a leading company in Retail industry.
COMP_0002,SBI,Food & Beverage,mid,Lucknow,8.0,19.4,4.3,1998,https://sbi.com,https://linkedin.com/company/sbi,SBI is a leading company in Food & Beverage industry.
COMP_0003,Nykaa,Automotive,large,Pimpri-Chinchwad,7.1,0.8,3.7,2018,https://nykaa.com,https://linkedin.com/company/nykaa,Nykaa is a leading company in Automotive industry.
COMP_0004,Paytm,Fashion,startup,Thane,8.7,11.7,3.1,2007,https://paytm.com,https://linkedin.com/company/paytm,Paytm is a leading company in Fashion industry.
COMP_0005,Airbnb,Retail,mid,Ludhiana,7.6,20.0,3.6,2016,https://airbnb.com,https://linkedin.com/company/airbnb,Airbnb is a leading company in Retail industry.
COMP_0006,Spotify,Fashion,mid,Bhopal,7.0,8.2,4.0,1995,https://spotify.com,https://linkedin.com/company/spotify,Spotify is a leading company in Fashion industry.
COMP_0007,ShopClues,Automotive,startup,Bangalore,8.1,18.3,3.4,2017,https://shopclues.com,https://linkedin.com/company/shopclues,ShopClues is a leading company in Automotive industry.
COMP_0008,TCS,Technology,large,Ahmedabad,7.3,20.7,4.5,2017,https://tcs.com,https://linkedin.com/company/tcs,TCS is a leading company in Technology industry.
COMP_0009,Microsoft,Technology,large,Bangalore,9.6,11.4,3.6,2019,https://microsoft.com,https://linkedin.com/company/microsoft,Microsoft is a leading company in Technology industry.
COMP_0010,Jabong,Telecommunications,large,Nashik,6.3,5.7,4.9,2011,https://jabong.com,https://linkedin.com/company/jabong,Jabong is a leading company in Telecommunications industry.
COMP_0011,Ola,E-commerce,mid,Pune,7.9,1.1,5.0,1994,https://ola.com,https://linkedin.com/company/ola,Ola is a leading company in E-commerce industry.
COMP_0012,Salesforce,Fashion,mid,Ghaziabad,8.0,8.0,5.0,1999,https://salesforce.com,https://linkedin.com/company/salesforce,Salesforce is a leading company in Fashion industry.
COMP_0013,UpGrad,Telecommunications,mid,Kolkata,5.1,23.0,4.9,2007,https://upgrad.com,https://linkedin.com/company/upgrad,UpGrad is a leading company in Telecommunications industry.
COMP_0014,Razorpay,E-commerce,mid,Surat,7.5,14.8,4.3,1996,https://razorpay.com,https://linkedin.com/company/razorpay,Razorpay is a leading company in E-commerce industry.
COMP_0015,Goldman Sachs,Travel & Tourism,mid,Hyderabad,8.1,11.7,3.1,2015,https://goldmansachs.com,https://linkedin.com/company/goldman-sachs,Goldman Sachs is a leading company in Travel & Tourism industry.
COMP_0016,CRED,Sports,mid,Kanpur,5.7,-1.9,4.3,2018,https://cred.com,https://linkedin.com/company/cred,CRED is a leading company in Sports industry.
COMP_0017,Snapdeal,Media & Entertainment,startup,Patna,8.7,2.9,4.7,2013,https://snapdeal.com,https://linkedin.com/company/snapdeal,Snapdeal is a leading company in Media & Entertainment industry.
