student_id,internship_id,success_prob,hybrid_v2,rural_urban,college_tier,gender,rank_fair,explain_reasons,missing_skills,course_suggestions,skill_overlap,skill_match_count
STU_0001,INT_0001,0.001058290762228,0.4542263837135645,urban,tier_3,female,1,"[""You already know sql, which is required for this role"", ""This web development role aligns perfectly with your  background"", ""Good selection probability based on historical data""]","[""nodejs js""]","{""nodejs js"": [{""platform"": ""Multiple Platforms"", ""course_name"": ""Search for \""nodejs js\"" courses"", ""link"": ""https://www.google.com/search?q=nodejs js+online+course"", ""rating"": 0.0}]}","[""sql""]",1
STU_0001,INT_0114,0.0010495108878222,0.4340730392968276,urban,tier_3,female,2,"[""This ai/ml role aligns perfectly with your  background"", ""Good selection probability based on historical data"", ""Promoting diversity by including students from all college tiers""]","[""py"", ""ml""]","{""py"": [{""platform"": ""Multiple Platforms"", ""course_name"": ""Search for \""py\"" courses"", ""link"": ""https://www.google.com/search?q=py+online+course"", ""rating"": 0.0}], ""ml"": [{""platform"": ""Multiple Platforms"", ""course_name"": ""Search for \""ml\"" courses"", ""link"": ""https://www.google.com/search?q=ml+online+course"", ""rating"": 0.0}]}",[],0
STU_0001,INT_0007,0.0010392929083133,0.4501179271723499,urban,tier_3,female,3,"[""This ai/ml role aligns perfectly with your  background"", ""Good selection probability based on historical data"", ""Promoting diversity by including students from all college tiers""]","[""py"", ""ml""]","{""py"": [{""platform"": ""Multiple Platforms"", ""course_name"": ""Search for \""py\"" courses"", ""link"": ""https://www.google.com/search?q=py+online+course"", ""rating"": 0.0}], ""ml"": [{""platform"": ""Multiple Platforms"", ""course_name"": ""Search for \""ml\"" courses"", ""link"": ""https://www.google.com/search?q=ml+online+course"", ""rating"": 0.0}]}",[],0
STU_0001,INT_0161,0.0009973205509117,0.4903945389161754,urban,tier_3,female,4,"[""This ai/ml role aligns perfectly with your  background"", ""Promoting diversity by including students from all college tiers"", ""This role offers excellent learning opportunities in ai/ml""]","[""reactjs"", ""nodejs js""]","{""reactjs"": [{""platform"": ""Multiple Platforms"", ""course_name"": ""Search for \""reactjs\"" courses"", ""link"": ""https://www.google.com/search?q=reactjs+online+course"", ""rating"": 0.0}], ""nodejs js"": [{""platform"": ""Multiple Platforms"", ""course_name"": ""Search for \""nodejs js\"" courses"", ""link"": ""https://www.google.com/search?q=nodejs js+online+course"", ""rating"": 0.0}]}",[],0
STU_0001,INT_0131,0.0009953100138326,0.5398707105602885,urban,tier_3,female,5,"[""You already know sql, which is required for this role"", ""This ai/ml role aligns perfectly with your  background"", ""Promoting diversity by including students from all college tiers""]","[""py"", ""reactjs""]","{""py"": [{""platform"": ""Multiple Platforms"", ""course_name"": ""Search for \""py\"" courses"", ""link"": ""https://www.google.com/search?q=py+online+course"", ""rating"": 0.0}], ""reactjs"": [{""platform"": ""Multiple Platforms"", ""course_name"": ""Search for \""reactjs\"" courses"", ""link"": ""https://www.google.com/search?q=reactjs+online+course"", ""rating"": 0.0}]}","[""sql""]",1
STU_0002,INT_0053,0.0010506126889146,0.4122660889067915,urban,tier_2,male,1,"[""You already know py and ml, which are required skills"", ""This web development role aligns perfectly with your  background"", ""Your strong academics (CGPA: 8.2) make you a competitive candidate""]",[],{},"[""py"", ""ml""]",2
STU_0002,INT_0112,0.0010378991420521,0.4288335879767881,urban,tier_2,male,2,"[""You already know py, which is required for this role"", ""This ai/ml role aligns perfectly with your  background"", ""Your strong academics (CGPA: 8.2) make you a competitive candidate""]","[""sql""]","{""sql"": [{""platform"": ""Multiple Platforms"", ""course_name"": ""Search for \""sql\"" courses"", ""link"": ""https://www.google.com/search?q=sql+online+course"", ""rating"": 0.0}]}","[""py""]",1
STU_0002,INT_0007,0.0010240177852803,0.5193729386098925,urban,tier_2,male,3,"[""You already know py and ml, which are required skills"", ""This ai/ml role aligns perfectly with your  background"", ""Your strong academics (CGPA: 8.2) make you a competitive candidate""]",[],{},"[""py"", ""ml""]",2
STU_0002,INT_0148,0.0010219061358501,0.442762401542276,urban,tier_2,male,4,"[""You already know py and ml, which are required skills"", ""This ai/ml role aligns perfectly with your  background"", ""Your strong academics (CGPA: 8.2) make you a competitive candidate""]",[],{},"[""py"", ""ml""]",2
STU_0002,INT_0196,0.0010134927779682,0.4694499048282091,urban,tier_2,male,5,"[""You already know py, which is required for this role"", ""This ai/ml role aligns perfectly with your  background"", ""Your strong academics (CGPA: 8.2) make you a competitive candidate""]","[""java""]","{""java"": [{""platform"": ""Multiple Platforms"", ""course_name"": ""Search for \""java\"" courses"", ""link"": ""https://www.google.com/search?q=java+online+course"", ""rating"": 0.0}]}","[""py""]",1
